descriptor,folder,N,T,temperature_regime,fro_regime,graph_family,field_complexity,interaction_complexity,gamma_fro_norm,parameter_block,name,true,estimate,abs_error,squared_error,parameter_rmse,field_rmse,interaction_fro_error
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::linear::feature_1,0.14,0.11654405181244087,0.02345594818755914,0.0005501815053774589,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::quadratic::feature_1,-0.125,-0.22621528425285767,0.10121528425285767,0.010244533766386777,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::linear::feature_2,0.007,0.1259633306683718,0.11896333066837178,0.014152274043712366,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::quadratic::feature_2,0.125,0.17133045444030667,0.04633045444030667,0.0021465110086453325,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::linear::feature_3,0.14,0.20176893577263003,0.06176893577263001,0.0038154014264832918,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::quadratic::feature_3,-0.125,-0.08108168919410216,0.04391831080589784,0.0019288180240434427,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::linear::feature_4,-0.04,0.06806550569954044,0.10806550569954043,0.011678153522097405,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::quadratic::feature_4,0.125,0.05898381641744792,0.06601618358255208,0.004358136494805219,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::linear::feature_5,-0.18,-0.19945956721663752,0.019459567216637524,0.0003786747562588339,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,field,field::quadratic::feature_5,0.185,0.001586484379915563,0.18341351562008443,0.033640517712118956,0.0967882251089505,0.09066629827427597,0.2440710827693977
