experiment_name,source_type,variant_name,intervention_source,intervention_name
partial_confounding_5,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_6,truth,,saved_intervention,all_intervention_from_s
partial_confounding_6,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_6,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_6,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_6,truth,,saved_intervention,no_intervention
partial_confounding_6,fit,base,saved_intervention,no_intervention
partial_confounding_6,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_6,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_7,truth,,saved_intervention,all_intervention_from_s
partial_confounding_7,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_7,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_7,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_7,truth,,saved_intervention,no_intervention
partial_confounding_7,fit,base,saved_intervention,no_intervention
partial_confounding_7,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_7,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_8,truth,,saved_intervention,all_intervention_from_s
partial_confounding_8,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_8,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_8,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_8,truth,,saved_intervention,no_intervention
partial_confounding_8,fit,base,saved_intervention,no_intervention
partial_confounding_8,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_8,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_9,truth,,saved_intervention,all_intervention_from_s
partial_confounding_9,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_9,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_9,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_9,truth,,saved_intervention,no_intervention
partial_confounding_9,fit,base,saved_intervention,no_intervention
partial_confounding_9,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_9,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
partial_confounding_10,truth,,saved_intervention,all_intervention_from_s
partial_confounding_10,fit,base,saved_intervention,all_intervention_from_s
partial_confounding_10,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,all_intervention_from_s
partial_confounding_10,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,all_intervention_from_s
partial_confounding_10,truth,,saved_intervention,no_intervention
partial_confounding_10,fit,base,saved_intervention,no_intervention
partial_confounding_10,fit,alternating_rank_8_uv_5_e3_beta_mask,saved_intervention,no_intervention
partial_confounding_10,fit,alternating_rank_8_uv_1_e2_beta_mask_xi_zero,saved_intervention,no_intervention
