matrix_code,matrix_display_name,view_code,view_label,component_rank,singular_value,energy_share,cumulative_energy_share,next_singular_ratio
continuous_death,Continuous death-rate matrix,raw,Raw,45,1.1667725420686247e-13,1.5185060688528455e-33,0.9999999999999999,0.11667725420686247
continuous_death,Continuous death-rate matrix,raw,Raw,46,8.546259104051587e-14,8.146972354854559e-34,0.9999999999999999,0.08546259104051587
continuous_death,Continuous death-rate matrix,raw,Raw,47,2.1689078760200455e-14,5.247184598682839e-35,0.9999999999999999,0.021689078760200455
continuous_death,Continuous death-rate matrix,raw,Raw,48,8.89721339340581e-19,8.829825998454837e-44,0.9999999999999999,
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,1,1211.3755475925914,0.196767991385296,0.196767991385296,1.4100393984705986
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,2,859.1075887003667,0.09896735355052269,0.29573534493581866,1.1333832340492167
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,3,758.0027327835523,0.07704392313762504,0.3727792680734437,1.0962589447205964
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,4,691.4449696706872,0.06410797950756934,0.43688724758101305,1.0296059218451297
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,5,671.5627358004768,0.06047418523901096,0.497361432820024,1.051344339203688
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,6,638.7657314150125,0.054711681758001465,0.5520731145780254,1.0253715791280107
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,7,622.9602462340795,0.05203763052801123,0.6041107451060367,1.1307874544190093
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,8,550.908346037631,0.040696358478412784,0.6448071035844495,1.0172172976252787
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,9,541.5837376377117,0.03933037405409944,0.6841374776385489,1.0311629450626612
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,10,525.2164463733722,0.036989075809777346,0.7211265534483263,1.0857765189699569
