view_code,view_label,component_rank,singular_value,energy_share,cumulative_energy_share,next_singular_ratio,matrix_kind,outcome_code,intervention_code,requested_start_date,resolved_start_week_end_date,start_index,node_count,transition_weeks
raw,Raw,47,1.910530895228908,1.0530937657956127e-05,0.999961521110307,1.1002081792120646,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,48,1.7365176257798518,8.699960949320834e-06,0.9999702210712563,1.101318654457273,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,49,1.5767622011593032,7.172842788738731e-06,0.999977393914045,1.0035669397083782,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,50,1.571157975388754,7.121945078409997e-06,0.9999845158591235,1.1283393334973075,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,51,1.392451657710914,5.593957528812998e-06,0.9999901098166524,1.0425160754574756,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,52,1.3356644472843069,5.1469937847704725e-06,0.9999952568104371,1.0416974020767016,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,53,1.2822000368068118,4.743189562872941e-06,1.0,385440477939.0324,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,54,3.326583766351664e-12,3.192683290890172e-29,1.0,3.3265837663516638,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,55,2.2439313113174915e-14,1.4527069991953603e-33,1.0,0.022439313113174916,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,56,1.6328634641826413e-14,7.6923432464803005e-34,1.0,0.016328634641826413,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,57,1.248712290170731e-14,4.498665311512745e-34,1.0,0.012487122901707311,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,58,1.1382595241927772e-14,3.7380189389099217e-34,1.0,0.011382595241927772,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,59,1.0184576524495905e-14,2.99257375676735e-34,1.0,0.010184576524495904,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,60,8.173367823889293e-15,1.9273518243728923e-34,1.0,0.008173367823889294,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,61,6.806120050646582e-15,1.3364666381181572e-34,1.0,0.006806120050646582,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,62,6.2565968622679015e-15,1.129367424394581e-34,1.0,0.006256596862267902,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,63,5.616489689065806e-15,9.100994324278735e-35,1.0,0.005616489689065806,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,64,4.867233629000523e-15,6.834760451018033e-35,1.0,0.004867233629000523,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,65,4.488097078426616e-15,5.81143515345245e-35,1.0,0.004488097078426617,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,66,4.1418302831587636e-15,4.949296931563143e-35,1.0,0.004141830283158764,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,67,3.783984973362249e-15,4.1310239977586647e-35,1.0,0.0037839849733622495,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,68,3.424556909836267e-15,3.383511736160909e-35,1.0,0.003424556909836267,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,69,3.01093814442212e-15,2.615547303752379e-35,1.0,0.00301093814442212,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,70,2.598678948911858e-15,1.9483374050136007e-35,1.0,0.002598678948911858,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,71,2.4836109272560274e-15,1.7796149095483528e-35,1.0,0.0024836109272560274,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,72,2.4182581589949943e-15,1.6871909418498777e-35,1.0,0.002418258158994994,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,73,2.204950884624546e-15,1.4026740150620495e-35,1.0,0.002204950884624546,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
