experiment_name,experiment_slug,execution_mode,search_name,search_slug,split_kind,outer_num_folds,test_fold_id,candidate_name,candidate_slug,candidate_index,optimizer_mode,cv_fold_id,num_training_slots,num_validation_slots,num_post_s_validation_slots,fit_path,status,fit_loss,validation_loss,validation_brier_score,validation_ece,post_s_validation_loss,post_s_validation_brier_score,post_s_validation_ece,validation_mean_magnetization_abs_diff,validation_observed_mean_magnetization,validation_sampled_mean_magnetization_mean,post_s_validation_mean_magnetization_abs_diff,post_s_validation_observed_mean_magnetization,post_s_validation_sampled_mean_magnetization_mean
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,7,14552,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_7,completed,0.4802056806686638,0.636767968554361,0.21479280220662408,0.07430185525435382,0.636767968554361,0.21479280220662408,0.07430185525435382,0.023487261146496814,-0.033121019108280254,-0.00963375796178344,0.023487261146496814,-0.033121019108280254,-0.00963375796178344
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,1,14550,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_1,completed,0.5006498489283964,0.5851389591300132,0.20064728419968764,0.02014239587476221,0.5851389591300132,0.20064728419968764,0.02014239587476221,0.014769108280254777,0.012101910828025478,-0.0026671974522292996,0.014769108280254777,0.012101910828025478,-0.0026671974522292996
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,2,14536,3142,3142,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_2,completed,0.5058927393542303,0.5883329173645747,0.20287876545324937,0.030762035290122527,0.5883329173645747,0.20287876545324937,0.030762035290122527,0.013804901336728199,0.015276893698281349,0.0014719923615531508,0.013804901336728199,0.015276893698281349,0.0014719923615531508
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,3,14544,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_3,completed,0.502349540143177,0.6036915569054907,0.20846243354978378,0.03396472608000366,0.6036915569054907,0.20846243354978378,0.03396472608000366,0.013310553083280356,0.004450095359186269,-0.008860457724094087,0.013310553083280356,0.004450095359186269,-0.008860457724094087
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_4,completed,0.5090268156799864,0.5927721374245459,0.203556331150297,0.02555447771816393,0.5927721374245459,0.203556331150297,0.02555447771816393,0.014303877940241577,-0.010171646535282899,0.004132231404958678,0.014303877940241577,-0.010171646535282899,0.004132231404958678
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_5,completed,0.500673656889686,0.6010879492325939,0.20737204240273802,0.03341417727938741,0.6010879492325939,0.20737204240273802,0.03341417727938741,0.020104895104895104,0.019707565162110616,-0.0003973299427844873,0.020104895104895104,0.019707565162110616,-0.0003973299427844873
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_6,completed,0.4983697592113063,0.6128611660752135,0.21282438130150597,0.04858182418784443,0.6128611660752135,0.21282438130150597,0.04858182418784443,0.02245222929936306,-0.01464968152866242,0.007802547770700637,0.02245222929936306,-0.01464968152866242,0.007802547770700637
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0004,default_candidate_0004,4,alternating_latent_rank,7,14552,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0004/fold_7,completed,0.49992151709800836,0.6016944889407635,0.2078228926333207,0.03543726845961401,0.6016944889407635,0.2078228926333207,0.03543726845961401,0.027587579617834396,-0.033121019108280254,-0.0055334394904458595,0.027587579617834396,-0.033121019108280254,-0.0055334394904458595
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,1,14550,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_1,completed,0.5169875839412377,0.5844557717699059,0.20042822366562907,0.016061329171668713,0.5844557717699059,0.20042822366562907,0.016061329171668713,0.013136942675159236,0.012101910828025478,-0.0010350318471337584,0.013136942675159236,0.012101910828025478,-0.0010350318471337584
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,2,14536,3142,3142,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_2,completed,0.521538134454122,0.5878610676394219,0.202394522700803,0.019726161648508937,0.5878610676394219,0.202394522700803,0.019726161648508937,0.013287714831317632,0.015276893698281349,0.0019891788669637173,0.013287714831317632,0.015276893698281349,0.0019891788669637173
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,3,14544,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_3,completed,0.5186783726912462,0.599050362461973,0.20698723830395785,0.017564113208870562,0.599050362461973,0.20698723830395785,0.017564113208870562,0.01315162110616656,0.004450095359186269,-0.008701525746980292,0.01315162110616656,0.004450095359186269,-0.008701525746980292
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_4,completed,0.5244520645903936,0.5912898461020712,0.20318628761756252,0.018784786150393126,0.5912898461020712,0.20318628761756252,0.018784786150393126,0.008939923712650986,-0.010171646535282899,-0.0012317228226319133,0.008939923712650986,-0.010171646535282899,-0.0012317228226319133
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_5,completed,0.5168699128076969,0.597994711180112,0.20637855307325084,0.016876225924450792,0.597994711180112,0.20637855307325084,0.016876225924450792,0.02030356007628735,0.019707565162110616,-0.0005959949141767324,0.02030356007628735,0.019707565162110616,-0.0005959949141767324
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_6,completed,0.5149794217605214,0.6065834949342114,0.2105983895310636,0.026638223467702275,0.6065834949342114,0.2105983895310636,0.026638223467702275,0.023487261146496817,-0.01464968152866242,0.008837579617834395,0.023487261146496817,-0.01464968152866242,0.008837579617834395
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0005,default_candidate_0005,5,alternating_latent_rank,7,14552,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0005/fold_7,completed,0.5167324533637572,0.5968249212340023,0.20613179144415197,0.019858922755523412,0.5968249212340023,0.20613179144415197,0.019858922755523412,0.03053343949044586,-0.033121019108280254,-0.002587579617834395,0.03053343949044586,-0.033121019108280254,-0.002587579617834395
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,1,14550,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_1,completed,0.5824340494770182,0.6152979178411621,0.21275857895897618,0.07310904710832385,0.6152979178411621,0.21275857895897618,0.07310904710832385,0.01050955414012739,0.012101910828025478,0.0015923566878980893,0.01050955414012739,0.012101910828025478,0.0015923566878980893
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,2,14536,3142,3142,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_2,completed,0.5850181639797927,0.6167560782324222,0.2136140308231,0.06068680358243687,0.6167560782324222,0.2136140308231,0.06068680358243687,0.011974856779121579,0.015276893698281349,0.0033020369191597704,0.011974856779121579,0.015276893698281349,0.0033020369191597704
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,3,14544,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_3,completed,0.5834526027135072,0.6220426225142501,0.21609179700021183,0.056908258308131406,0.6220426225142501,0.21609179700021183,0.056908258308131406,0.00882072472981564,0.004450095359186269,-0.004370629370629371,0.00882072472981564,0.004450095359186269,-0.004370629370629371
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_4,completed,0.5864943159812179,0.6186394807262446,0.21438023743548681,0.06019475947259031,0.6186394807262446,0.21438023743548681,0.06019475947259031,0.005403687221869041,-0.010171646535282899,-0.004767959313413858,0.005403687221869041,-0.010171646535282899,-0.004767959313413858
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_5,completed,0.5818638368217459,0.6231112436075855,0.2164966299429309,0.05419997948413778,0.6231112436075855,0.2164966299429309,0.05419997948413778,0.01859504132231405,0.019707565162110616,0.001112523839796567,0.01859504132231405,0.019707565162110616,0.001112523839796567
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_6,completed,0.5811664567446838,0.6234822994920269,0.21689305873508827,0.047371281404147016,0.6234822994920269,0.21689305873508827,0.047371281404147016,0.021695859872611467,-0.01464968152866242,0.007046178343949045,0.021695859872611467,-0.01464968152866242,0.007046178343949045
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0006,default_candidate_0006,6,alternating_latent_rank,7,14552,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0006/fold_7,completed,0.582854581265501,0.6185082345256426,0.21450440304775842,0.05608091167553234,0.6185082345256426,0.21450440304775842,0.05608091167553234,0.03355891719745223,-0.033121019108280254,0.00043789808917197464,0.03355891719745223,-0.033121019108280254,0.00043789808917197464
